Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
4000,2,1,2,27,0,160,3259,0,120,3324,0,100,2554,0,100,2588,0,100,2645,0,104,2696,0
4800,2,2,2,25,1,0,450,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
9100,2,1,1,36,-2,127,12,-2,71,119,-2,15,71,-2,17,15,-2,34,17,-2,20,34,1
4000,2,2,1,25,0,159,3803,0,286,3495,0,0,3483,2,98,3306,0,107,2915,0,107,2966,1
6100,2,3,2,32,0,100,2769,0,120,2776,0,123,2769,0,94,2844,0,97,2632,0,100,2666,0
3100,2,3,1,31,0,120,600,0,80,697,0,120,766,0,120,872,0,120,978,0,40,1082,0
2400,2,2,1,26,0,220,2424,0,0,2453,2,92,2351,0,90,2339,0,184,2311,0,84,2439,1
3300,2,2,2,20,1,80,3173,2,88,3178,0,80,3192,0,40,1163,0,40,1062,0,80,1084,0
14500,2,1,1,31,-1,447,423,-1,400,447,-1,400,400,-1,733,400,-1,756,733,-1,791,756,0
6700,2,2,2,47,0,164,3323,0,140,3433,0,128,3480,0,132,3550,0,133,3625,0,160,3698,0
8700,2,2,2,30,-1,0,1550,-1,0,0,-2,4428,0,-1,0,4428,-1,0,0,-2,0,0,1
4700,2,3,2,24,0,160,4265,0,201,4236,0,160,4314,0,128,4131,0,125,4054,0,160,3517,1
6400,2,2,1,39,0,485,5508,0,0,5848,2,204,5573,0,410,5629,0,208,5746,2,0,5779,0
3100,2,1,2,24,0,80,2249,0,72,2091,0,68,1176,0,30,839,0,60,844,0,44,890,0
17200,1,1,1,39,-1,2038,1759,-1,13019,1845,0,800,13443,0,1563,13019,-1,872,1532,-1,14051,872,0
800,1,2,2,56,1,40,713,2,60,730,2,0,764,2,40,496,0,40,521,0,40,553,0
1300,2,2,2,34,1,0,954,2,292,928,2,0,1202,2,107,1131,2,0,1219,2,40,1194,0
2700,1,2,2,25,0,141,2715,0,148,2731,0,2851,2695,-1,120,2851,0,120,2846,0,120,2840,1
10800,2,1,1,40,2,0,50,2,0,50,5,0,50,5,0,50,4,0,26,3,0,14,0
14400,2,1,2,28,-2,0,0,-2,483,0,-2,243,483,-2,0,243,-2,0,0,-2,0,0,0
16000,2,2,2,41,-2,736,600,-2,600,736,-2,20,600,-2,600,20,-2,309,597,-2,120,305,0
12800,1,2,2,26,0,487,12148,0,333,12325,0,205,8195,0,202,5759,0,209,5726,0,207,5803,0
10800,1,1,1,36,2,240,6403,0,280,6254,0,360,6369,0,200,6619,0,120,3046,0,120,3118,1
1900,2,2,2,30,0,101,1923,0,60,1981,0,20,1980,0,16,784,0,0,800,0,0,0,0
800,2,2,1,34,0,80,653,0,51,722,0,40,760,0,40,769,0,40,762,0,40,774,0
1100,1,2,3,26,0,180,597,0,534,360,-1,726,534,0,32,773,0,19,726,0,17,470,0
1900,1,2,2,42,0,140,1364,0,0,142,0,0,0,-2,0,0,-2,0,0,-2,0,0,0
3200,1,2,2,32,0,180,3130,0,200,3217,0,200,3271,0,80,3134,0,160,1476,0,60,1563,1
4000,2,2,1,30,0,200,3691,0,59,3755,-1,118,59,-1,0,118,0,22,59,-1,31,22,0
14400,2,1,1,37,1,113,0,-1,0,113,2,8,104,0,0,112,0,0,112,0,0,0,0
14300,1,2,0,38,-1,10,7,-1,0,10,-1,0,0,-2,0,0,-2,0,0,-2,0,0,0
13300,2,2,1,40,8,0,15111,7,0,14894,6,0,14610,5,0,14326,4,0,14085,3,0,13849,1
9300,2,1,2,32,-1,296,91,-1,221,296,-1,50,221,-1,0,50,-1,40,0,-1,165,40,0
20100,1,3,2,31,-1,172,44,0,44,209,0,41,218,0,253,222,-1,73,251,-1,386,73,0
9100,1,3,1,45,-2,57,53,-2,51,57,-2,103,50,-2,0,103,-2,44,0,-2,0,44,0
10000,2,3,2,47,-2,1099,295,-2,0,1097,-2,77,0,-2,66,77,-2,67,66,-2,0,67,0
12400,1,3,2,29,-2,0,-2,-2,358,-2,-2,0,357,-2,283,-1,-2,0,281,-2,930,-5,0
6100,2,1,2,28,0,194,2617,0,80,2763,2,80,2526,0,80,2286,0,80,2135,0,60,1942,0
6300,2,2,2,34,0,51,2291,0,80,489,0,40,558,0,40,594,0,4657,629,0,180,5275,0
10500,1,1,1,38,-1,10,21,-1,22,10,-1,0,22,-1,3,0,-1,5,3,-1,9,5,0
2800,2,1,2,24,1,124,1124,2,0,1218,2,104,1186,2,0,1271,2,204,1245,2,56,1420,1
2400,2,2,2,27,2,2363,99,-1,196,2363,-1,0,2451,2,92,2348,0,88,2321,0,84,2302,0
1300,2,2,1,35,0,72,1158,0,63,1210,0,52,1219,0,35,1211,0,40,1199,0,27,939,0
13900,1,2,1,53,0,600,13754,0,13600,4293,0,800,14237,0,360,14123,0,320,8928,0,560,8310,0
7200,2,1,1,34,-1,593,281,-1,789,593,-1,525,788,-1,985,525,-1,19,985,-1,1331,19,0
6100,1,1,2,34,0,43,1851,-1,0,43,-1,1646,0,-1,0,1646,-1,0,0,-2,0,0,0
8100,2,1,2,34,0,271,3107,0,200,3202,0,160,3236,0,120,3284,0,360,3263,0,160,3490,0
1900,2,1,2,31,-2,0,0,-2,0,0,-2,0,0,-2,116,0,-2,0,116,-2,0,0,0
2900,2,2,2,23,2,115,2763,0,93,2832,0,141,2696,0,0,2005,2,55,1904,0,53,1737,1
13600,1,1,1,48,0,548,12842,0,508,13183,0,244,13400,0,252,7912,0,204,8077,0,216,5632,0
2800,2,2,2,23,0,80,1336,0,60,1393,2,140,1419,2,212,1535,2,0,1709,4,0,1660,1
11900,1,2,1,42,0,96,2645,0,100,2698,0,67,2754,0,68,2776,0,70,2832,0,71,2890,0
2900,1,3,1,67,1,0,463,2,48,444,0,40,484,0,80,516,0,40,587,0,60,617,1
11300,1,1,1,35,-2,0,105,-2,210,-1,-2,691,209,-2,114,687,-2,213,114,-2,0,211,0
5600,2,1,2,25,2,120,1065,0,240,1155,0,120,1362,0,200,1442,0,240,1600,0,200,1817,1
1200,2,2,1,40,0,730,889,-1,460,730,-1,0,1161,2,47,1130,0,120,1159,0,0,1255,0
900,1,1,2,27,0,64,553,0,127,596,0,0,700,2,40,677,0,40,695,0,120,718,0
19900,2,1,2,45,-2,800,21,-2,200,706,-2,280,58,-2,0,249,-2,0,0,-2,0,0,0
2400,2,2,2,23,2,0,24,2,0,24,4,0,24,4,0,24,3,0,12,2,23,6,1
700,1,3,2,45,0,80,506,0,51,565,0,120,606,0,40,716,0,40,744,0,40,771,0
6800,2,1,2,28,2,80,1091,0,80,1141,0,49,1190,0,60,1207,0,60,1242,0,80,1275,1
2000,1,3,1,53,2,120,2201,0,64,2007,0,40,2016,0,40,795,0,40,806,0,40,749,1
6700,1,1,1,38,0,242,6333,0,161,4777,0,401,4365,0,0,4275,2,139,3997,0,185,3885,0
1900,1,2,2,23,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
11600,2,1,2,35,1,304,6817,2,0,6954,2,480,6779,2,0,7087,2,273,6442,0,207,6534,1
14500,1,2,2,36,1,0,-20,-2,80,-35,-1,0,16,-1,60,-28,-1,40,10,-1,40,0,0
4700,1,2,2,44,1,0,2556,2,240,2491,2,84,2690,2,120,2706,2,120,2757,2,100,2827,1
2900,2,2,2,23,0,200,1097,0,56,1087,0,81,759,0,15,807,0,0,636,0,0,0,0
300,1,2,1,37,1,46,177,2,40,214,2,80,245,0,40,320,0,20,355,0,20,369,0
8900,2,2,1,39,1,581,334,-2,273,578,-2,261,272,-2,205,260,-2,221,204,-2,401,220,0
5500,1,1,2,29,-1,203,984,0,361,501,-1,0,361,-1,0,0,-2,0,0,-2,0,0,0
3900,2,1,2,24,-1,621,303,-1,0,621,2,476,305,-1,440,476,-1,0,621,2,927,286,0
25700,2,1,2,43,0,120,2226,0,200,2266,0,92,2407,0,85,2369,0,85,2359,0,89,2360,0
15200,1,1,1,34,-1,576,1122,-1,888,571,-1,966,884,-1,1657,962,-1,1407,1649,-1,84,1400,0
6100,1,1,2,30,-1,97,137,-1,62,97,-1,0,62,0,923,54,-1,80,921,-1,160,80,0
8100,2,2,1,31,0,160,3128,0,160,3236,0,200,3308,0,200,3452,0,200,3558,0,200,3701,0
5500,2,2,1,38,0,144,3929,0,200,3902,0,240,3938,0,200,4112,0,160,4184,0,400,4277,0
16000,1,3,2,64,-1,1716,2093,-1,1044,1716,-1,15884,1044,-1,315,15880,0,151,13921,0,0,6927,0
14000,1,1,1,31,0,120,747,0,120,842,0,0,932,2,200,912,0,200,1097,0,200,808,1
10100,2,3,1,40,0,80,735,0,80,803,0,80,857,0,80,910,0,200,975,0,160,1151,0
14500,2,2,2,36,-1,0,43,-1,35,0,-1,46,35,-1,37,46,-1,56,37,-1,38,56,1
900,2,2,2,40,0,52,268,0,52,309,0,20,349,0,14,357,0,16,360,0,16,370,0
9200,1,2,2,40,-1,26,13,-1,13,13,-1,13,13,-1,13,13,-1,13,13,-1,13,13,0
8800,2,2,2,29,0,120,1444,0,120,1340,0,240,1181,0,200,1183,0,45,1143,0,400,848,1
12100,2,2,2,36,0,312,11916,0,348,8660,0,340,8869,0,273,8991,0,108,7302,0,128,3681,0
900,1,2,1,48,0,45,236,0,60,271,0,12,326,0,12,326,0,12,333,0,13,340,0
14500,1,1,1,44,-1,1,812,2,483,264,-1,1675,465,-1,402,1431,-1,161,387,-1,20,120,0
11200,2,1,2,34,-1,280,8602,0,288,7644,0,352,7808,0,292,7964,0,308,8063,0,640,8242,0
6300,2,1,2,43,-2,0,0,-2,0,0,-2,0,0,-2,30,0,-2,0,30,-2,0,0,0
2000,1,2,1,36,0,55,1030,0,51,932,0,27,851,0,27,777,0,33,773,0,33,742,0
700,1,2,2,23,1,0,374,2,40,362,0,8,393,0,0,401,0,0,0,-2,0,0,1
9500,2,1,1,32,2,0,8375,2,880,8180,2,340,8925,2,340,9059,2,360,9188,2,0,9396,1
8000,1,1,1,35,-1,280,6955,0,200,5591,0,180,5301,0,200,4653,0,200,4447,0,172,4236,0
2100,1,2,2,30,0,200,347,0,400,438,0,400,687,-1,240,255,0,0,255,0,120,76,0
1100,2,5,1,36,-2,0,354,-2,174,0,-2,28,174,-2,0,28,-2,4,0,-2,0,4,0
10000,2,2,1,37,0,403,8410,0,400,2350,0,40,1268,0,400,545,-1,400,400,-1,400,400,0
9600,1,2,2,36,-1,749,344,-1,26,748,-1,459,26,-1,53,458,-1,0,53,0,53,27,0
3500,2,2,1,45,0,330,3290,0,128,3530,0,120,3328,0,200,3266,0,200,3385,0,120,3519,0
900,1,3,1,53,1,0,834,2,48,808,0,16,806,0,0,794,0,0,0,-2,0,0,1
300,2,2,1,54,3,48,214,2,0,254,2,40,244,2,0,281,2,40,271,2,0,307,1
4000,2,2,2,43,-1,0,41,-1,0,0,-2,2003,0,-1,36,2003,0,40,911,0,40,936,0
1300,2,1,2,26,0,200,896,0,60,1034,0,20,1062,0,120,554,0,120,652,0,120,742,0
7900,2,1,2,33,-2,0,0,-2,67,0,-2,13079,-422,-2,208,5931,0,220,5878,0,240,5951,0
2400,2,2,2,29,0,190,1815,0,0,1975,2,200,1932,0,200,2065,0,0,2257,0,960,867,0
15300,1,3,2,35,-1,150,120,-1,120,149,-1,2772,120,-1,1353,2765,-1,4634,1353,-1,2579,4634,0
900,1,1,2,41,2,64,675,0,66,716,0,33,758,0,34,766,0,40,782,0,16,803,1
1200,1,2,1,39,2,120,556,2,0,666,2,60,643,2,0,693,2,40,676,0,140,699,1
5500,2,1,2,33,0,228,5262,0,252,5402,0,120,5532,0,100,2708,0,102,2763,0,120,2820,0
3300,2,3,1,51,1,68,0,-1,0,68,-1,0,0,-2,0,0,-2,20,0,-1,102,20,1
5100,2,1,2,31,1,0,0,-2,149,0,-1,0,149,-1,0,0,-2,52,0,-1,216,52,0
900,1,3,1,38,0,56,714,0,786,465,-1,52,786,0,27,738,0,28,753,0,29,769,0
6900,1,2,1,47,0,172,3792,0,133,3573,0,122,3535,0,104,3378,0,104,2795,0,194,2480,1
8700,2,1,1,29,2,0,6027,2,273,5585,0,109,5441,0,50,4638,0,118,2184,0,4510,1695,0
3300,2,1,2,28,-2,0,107,-2,13,0,-1,0,13,2,48,13,2,0,61,3,0,48,0
10400,1,1,1,39,-1,48,418,-1,273,48,-1,47,267,-1,36,47,-1,168,36,-1,247,167,1
5300,1,2,2,32,0,120,2624,0,120,2555,0,160,2285,0,160,2240,0,160,2320,0,200,2442,0
5700,2,2,2,24,0,40,327,0,151,151,-1,151,151,-1,167,151,-1,40,167,0,202,171,0
13700,2,1,2,32,-1,135,118,-1,150,134,-1,72,150,-1,54,72,-1,429,54,-1,35,427,0
15300,2,1,1,41,-1,835,755,-1,8,834,-1,87,8,-1,207,87,-1,218,207,-1,82,218,0
1700,1,3,2,42,-1,0,79,2,70,57,-1,0,70,0,0,33,0,74,17,-1,0,74,0
3200,1,2,2,23,0,100,2551,0,100,2506,0,76,2400,0,100,2135,0,100,2202,0,80,2183,0
2300,1,3,2,46,0,108,2462,0,60,2521,0,80,679,0,40,1493,0,33,734,0,13,715,0
8800,2,1,2,30,0,358,1348,0,52,1348,0,80,1267,0,80,1336,0,120,1405,0,800,1513,0
12400,1,1,1,38,-1,271,341,-1,243,269,-1,599,241,-1,220,595,-1,503,219,-1,369,500,0
7100,1,2,1,49,0,148,7170,0,148,3807,0,164,3894,0,94,3988,0,100,2639,0,105,2697,0
1100,2,2,1,23,0,68,1145,0,60,1129,0,28,1111,0,28,1119,0,20,1143,0,40,485,0
14000,2,1,2,32,-1,396,95,-1,486,396,-1,677,486,-1,0,591,0,2683,86,-1,4128,2683,0
8500,1,2,2,28,0,40,215,0,0,248,0,0,0,-2,0,0,-2,0,0,-2,0,0,0
4700,2,1,2,34,-1,13,98,-1,0,13,-1,1151,0,-1,0,1151,-1,0,0,-2,0,0,0
3300,2,2,1,29,0,120,205,0,80,315,0,41,388,0,40,359,0,14,341,0,20,349,0
7300,2,2,1,35,0,120,1882,0,80,1971,0,80,2006,0,160,2053,0,120,2173,0,120,2250,0
5300,1,3,2,55,-1,262,299,-1,56,261,-1,232,56,-2,103,231,-2,89,99,-2,167,84,0
3300,1,1,1,48,-1,94,80,-1,226,94,-1,67,226,-1,124,67,-1,184,124,-1,224,184,1
20400,2,1,2,32,-1,19734,2845,-1,49083,19255,-1,6583,22388,-1,20,6545,0,250,4699,0,182,4666,0
900,1,2,2,25,0,128,634,0,32,739,2,36,747,2,0,759,2,68,742,2,0,791,0
800,1,2,1,42,1,152,0,-1,44,152,-1,719,44,-1,15,719,0,0,727,0,714,0,0
7900,2,3,1,27,2,240,5146,2,184,5242,2,0,5285,2,192,5147,0,548,5260,0,20,5721,1
17200,2,2,1,45,-1,36,54,-1,213,36,-1,30,211,-1,6,30,-1,6,6,-1,240,6,0
1300,1,2,1,39,1,0,372,2,200,360,2,0,554,2,40,534,0,200,559,0,0,749,0
3500,1,3,1,60,0,42,3951,0,1880,2099,-1,67,1879,0,69,1900,0,73,1924,0,69,1950,0
7100,2,2,1,33,1,260,5681,2,224,5792,2,0,5862,2,480,5709,2,0,6089,2,472,5985,1
12100,2,1,1,27,2,78,32,-1,104,78,-1,77,104,0,0,136,0,44,76,-1,21,44,0
8000,2,1,2,30,-1,1051,1551,-1,0,2512,2,45,51,-1,45,45,-1,0,45,-1,45,0,0
5200,2,2,2,35,0,160,3269,0,180,3375,0,168,3501,0,140,3574,0,160,3619,0,160,3714,0
3500,2,3,1,37,0,63,3186,0,792,3160,-1,52,733,0,40,759,0,34,775,0,40,784,0
2000,2,1,2,21,0,82,1963,0,62,1945,0,25,1768,0,25,1097,0,17,1065,0,1023,342,0
6800,1,1,2,35,-1,455,1513,-1,174,446,-1,38,173,-1,13,38,-1,152,13,-1,13,152,0
18900,1,2,1,54,0,200,3387,0,200,3473,0,200,3556,0,200,3638,0,200,3750,0,200,3857,0
2000,1,2,2,25,0,52,489,0,52,533,0,52,576,0,24,618,0,40,632,0,24,662,0
4100,1,2,2,29,0,64,1255,0,58,1286,0,0,1293,0,2,1161,0,1398,783,-1,12,1353,0
8500,1,2,2,46,-1,111,111,-1,111,111,-1,21,111,-1,195,21,-1,0,195,0,53,53,0
5700,1,1,2,30,0,0,224,0,0,0,-2,0,0,-2,212,0,-1,210,212,-1,0,410,0
2100,1,3,2,22,0,42,267,0,40,202,0,2,94,0,55,80,-1,43,55,-1,15,43,1
2000,2,3,1,49,0,1880,1968,0,80,1940,0,40,1976,0,0,1984,0,0,0,-2,0,0,1
8800,2,2,2,35,0,160,5068,0,220,4261,0,151,4395,0,164,4245,0,200,4328,0,180,4438,0
8000,2,1,1,31,-1,249,10,-1,233,249,-1,34,233,-1,81,34,-1,80,81,-1,414,80,0
14400,2,2,2,34,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
19900,1,2,2,29,0,81,1574,0,165,1615,0,130,1630,0,2,653,0,0,428,0,1455,-2,0
11500,1,1,2,42,0,120,3344,0,180,3345,0,160,3471,0,124,3511,0,120,3513,0,122,2841,0
7700,1,2,2,41,2,0,5976,2,600,5825,2,264,6271,2,260,6375,2,260,6475,2,280,6629,1
600,1,5,1,90,9,22,107,2,11,29,-1,254,380,3,45,181,5,,199,6,157,407,1
16000,2,1,2,49,-2,328,263,-2,470,326,-2,425,469,-2,608,423,-2,460,605,-2,740,458,0
1200,2,3,2,37,2,80,1017,2,0,1069,2,83,1040,2,0,1094,2,92,1071,2,0,1145,1
6000,1,1,2,25,0,400,5974,0,242,6098,0,230,5648,0,120,4232,0,200,4259,0,1400,4284,0
7900,1,1,1,36,-1,235,235,-1,207,235,-1,184,207,-1,0,184,-1,0,-4,-2,0,-87,0
5900,2,3,2,28,0,81,981,0,121,889,0,125,835,0,120,692,0,122,644,0,82,741,0
300,2,2,2,20,-1,0,21,-1,11,0,-1,11,11,-1,11,11,-1,11,11,-1,42,11,1
2400,1,2,1,34,3,0,96,2,0,96,2,0,96,7,0,96,7,0,96,6,0,72,1
7900,1,2,1,29,1,121,1163,2,0,1252,2,40,1168,0,41,1127,0,52,1151,0,80,1138,0
2000,1,2,1,52,-2,85,63,-2,0,85,-2,81,0,-2,0,81,-2,77,0,-2,0,77,0
20100,1,2,2,30,0,94,1896,0,60,1948,0,45,1946,0,4013,1962,0,4019,5961,0,85,7275,0
3300,2,3,1,29,2,80,1667,2,52,1709,2,80,1721,2,76,1761,2,76,1802,2,0,1843,1
8100,2,2,2,27,-2,59,2326,-2,93,59,-2,6544,93,-2,267,13088,-2,159,267,-2,101,159,0
900,2,2,1,52,2,31,16,-1,0,31,2,22,16,-1,53,22,-1,0,53,2,0,31,1
10800,1,2,1,46,0,403,5102,0,206,4368,0,406,3705,0,1772,2787,-1,1740,1766,-1,1241,1737,0
8000,2,2,2,25,0,103,895,0,180,983,0,72,1145,0,80,1198,0,360,1229,0,200,1568,0
5700,2,1,1,34,0,226,5175,0,66,5241,0,80,1580,0,60,1636,0,84,1569,0,60,1627,0
5300,2,1,2,29,0,604,4251,0,200,4789,3,0,4846,3,0,4711,2,168,4626,0,200,4642,0
3300,2,1,2,20,0,128,3121,0,89,3174,0,76,3041,0,160,2356,0,200,2180,0,840,2077,0
700,2,2,3,45,2,0,96,2,0,96,7,0,96,7,0,96,7,0,96,6,0,72,1
5700,2,1,2,37,-1,1600,41,-1,0,1600,-1,0,0,-2,0,0,-2,20,0,-1,0,20,0
6300,1,2,2,31,0,246,6559,0,222,6460,0,168,6179,0,172,4855,0,180,4796,0,172,4720,0
11100,2,2,2,35,-1,225,11,-1,222,225,-1,0,221,-1,854,0,-1,24,854,-1,0,24,0
8000,2,1,2,29,-1,0,5,-1,0,0,-2,0,0,-2,4,0,-1,0,4,-1,0,0,0
18100,2,1,1,31,0,100,4178,0,101,2755,0,407,2489,0,401,2621,0,207,2457,0,200,2542,0
8800,2,2,1,43,0,180,5061,0,160,3601,0,120,3648,0,120,3446,0,120,3350,0,240,3142,0
1300,1,3,2,42,0,60,327,0,80,376,0,40,437,0,40,458,0,40,484,0,50,510,1
6300,1,1,2,32,-1,5,1211,-1,16,-5,-2,16,-21,-2,23,-37,-2,32,-60,-1,0,-75,0
3900,1,2,1,53,0,88,2570,0,3263,847,0,105,4063,0,157,3283,0,116,3248,0,112,3117,1
3100,1,3,1,35,1,136,2844,2,120,2909,2,0,2959,2,225,2888,2,128,3065,2,0,3138,1
10500,1,2,1,40,0,401,9034,0,400,8770,0,2620,8270,0,400,10203,0,320,8350,0,400,7868,0
19900,2,2,1,38,-1,14,293,-1,14,14,-1,48,14,-1,95,48,-1,254,95,-1,596,254,0
8000,1,2,1,38,0,152,4229,0,218,4252,0,228,4401,0,800,4496,0,191,5156,0,204,5264,0
7900,2,1,1,36,-2,255,604,-2,240,255,-2,292,240,-2,84,292,-2,410,369,-2,0,163,0
2000,1,2,1,30,4,0,1997,3,0,1954,2,80,1878,0,80,1912,0,80,1952,0,240,2004,1
6500,2,1,2,29,1,0,-8,-2,0,-8,-2,8,-8,-2,408,0,-1,12,408,-1,0,0,0
11200,2,4,1,42,-2,494,215,-2,829,494,-2,0,829,-2,0,0,-2,685,0,-2,107,685,1
12800,2,1,2,30,0,0,485,0,0,0,-2,15,0,-1,647,15,-1,32,647,0,26,668,1
3900,1,2,1,31,2,200,3311,2,272,3421,2,140,3601,3,0,3646,3,136,3577,2,140,3647,0
800,1,2,2,27,0,54,754,0,48,716,0,10,612,0,3,511,0,0,143,0,0,0,0
8000,1,1,2,43,0,320,6534,0,320,6748,0,260,6883,0,540,6956,0,0,7363,2,280,7224,0
6400,2,3,1,41,0,187,4094,0,42,4148,-1,42,42,-1,42,42,-1,49,42,-1,42,49,0
6000,2,2,2,36,-1,0,209,-1,208,0,-1,0,208,0,3,62,0,18,65,0,179,9,0
5600,2,1,2,27,0,524,5417,0,1,5797,2,222,5652,0,130,5495,0,140,3730,0,133,3815,0
2900,2,1,2,24,0,72,981,0,49,1021,0,21,1039,0,27,594,0,22,597,0,22,604,0
2000,1,3,1,46,1,0,438,2,112,419,2,0,524,2,40,504,2,40,536,2,0,561,1
6800,1,2,2,41,0,144,5459,0,156,3489,0,91,3170,0,88,2366,0,94,2409,0,96,2463,0
6100,2,2,2,25,0,81,1782,0,85,1748,0,72,1792,0,52,1771,0,52,1520,0,52,1319,0
7100,2,3,2,31,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
3200,2,1,1,45,0,116,3096,0,144,3160,0,400,3193,0,70,3172,0,71,2087,0,152,2011,0
4000,2,6,1,30,0,228,3972,0,140,3336,0,2360,2323,0,64,3534,0,40,1978,0,40,926,0
4900,2,1,2,22,0,60,450,0,51,502,0,45,533,0,53,567,0,20,533,0,121,409,0
24800,2,2,1,44,2,0,6433,2,248,6274,0,240,6418,0,240,6551,0,260,6686,0,240,6836,1
4300,2,2,2,25,0,75,1991,0,72,2034,0,106,2071,0,76,2146,0,76,2132,0,69,2175,0
8400,2,2,1,33,0,80,589,0,60,659,0,60,708,0,80,756,0,120,823,0,80,929,0
10900,2,1,1,35,-1,2948,50,-1,127,2867,0,120,2770,0,160,2714,0,320,2729,0,120,2908,0
700,2,3,1,21,0,53,704,0,52,735,0,27,766,0,28,772,0,34,779,0,32,791,1
5500,2,2,1,26,0,800,3012,0,120,3625,0,0,2184,2,120,1269,2,0,1088,2,200,951,0
6700,2,1,1,43,0,3200,6624,0,190,5540,0,81,5447,0,83,2440,0,71,2379,0,417,1769,0
900,2,2,1,38,0,51,714,0,51,753,0,25,713,0,26,727,0,32,743,0,23,763,0
20100,1,1,2,38,-1,2418,173,-1,1224,2418,-1,6034,1224,-1,6555,6167,-1,1017,536,-1,1581,1017,1
3700,2,3,1,55,3,60,3449,2,300,3417,2,140,3625,2,0,3670,2,132,3499,0,140,3426,1
800,2,1,2,40,0,64,668,0,71,708,0,48,755,0,16,772,0,0,780,0,1773,0,1
1200,2,2,2,23,3,48,1164,3,48,1181,3,0,1198,3,56,1167,2,48,1198,2,0,1221,1
2000,1,2,2,27,0,40,694,0,987,237,-1,0,665,0,0,160,0,0,0,-2,0,0,0
1900,1,2,2,50,0,65,948,0,54,900,0,49,811,0,24,793,0,24,748,0,29,704,0
3900,2,1,1,49,0,128,3770,0,136,3483,0,148,3563,0,112,3646,0,116,3106,0,124,3141,0
6100,2,1,2,26,-2,24,0,-2,24,24,-2,0,24,-2,24,0,-2,0,24,-2,0,0,0
15300,1,1,1,51,1,31,0,-1,164,31,-1,379,164,-1,80,379,-1,47,80,-1,141,47,0
8700,2,2,2,32,2,280,6147,2,252,6266,2,0,6360,2,200,6180,0,200,5056,0,200,5174,0
900,1,1,1,20,8,3,10,10,14,17,9,70,328,12,386,515,5,56,857,11,3,28,1
17600,2,2,1,44,0,800,2822,0,0,1706,0,1102,0,-2,2000,1102,-2,758,3094,-2,372,418,0
6100,2,1,2,32,0,400,1228,0,400,1606,0,400,1976,0,400,2342,0,800,2702,0,69,3453,0
2900,1,2,2,35,0,136,2692,0,92,2761,0,64,2774,0,64,1568,0,68,1600,0,80,1636,0
4900,2,2,1,37,0,62,1264,0,60,1291,0,42,1311,0,40,1321,0,37,1085,0,33,1051,0
8000,1,2,1,54,0,247,6771,0,359,6906,0,270,7154,0,250,7204,0,265,6926,0,245,7077,0
1200,1,2,2,23,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
6900,2,1,2,26,0,261,5215,0,194,5248,0,900,5156,0,193,5021,0,195,5091,0,198,5154,0
6000,2,2,1,42,0,52,635,0,42,416,0,55,243,0,62,193,2,5,248,0,10,193,0
1200,2,1,2,26,-1,59,121,-1,755,59,-1,0,754,0,188,38,0,0,226,0,286,0,0
1900,2,2,2,35,0,58,1267,0,76,1103,0,50,1161,0,23,1175,0,24,677,0,23,691,0
2900,2,2,1,33,1,0,2076,2,60,1972,0,52,1929,0,60,1103,0,40,1072,0,40,822,0
6400,1,1,1,41,0,200,2157,0,0,2320,0,0,0,-2,120,0,-1,0,119,0,96,80,0
2100,1,2,2,25,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
2100,2,3,1,54,2,80,1647,2,84,1688,2,0,1733,2,80,1693,0,152,1733,0,231,1850,0
2100,2,2,1,44,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
3100,1,2,2,26,0,246,2179,-1,0,123,-1,246,0,-1,0,246,-1,0,0,-2,0,0,0
3500,1,2,1,42,0,125,1714,0,0,1797,0,31,0,-1,58,31,-1,0,58,-1,0,0,1
13600,1,1,1,44,-2,117,276,-2,14,117,-2,113,14,-2,522,113,-2,561,522,-2,181,560,0
7200,1,2,2,23,2,120,401,2,0,514,2,20,494,0,18,494,0,20,504,0,20,516,1
15300,1,1,2,28,-2,42,52,-2,14,42,-2,14,14,-2,14,14,-2,20,14,-2,14,20,0
8300,2,2,2,32,0,240,8504,0,180,7118,0,200,4774,0,120,4711,0,120,2752,0,120,2647,0
800,2,2,2,33,0,41,221,0,118,222,-1,242,117,-1,0,236,-1,0,0,-2,0,0,0
11500,1,3,1,41,-2,0,0,-2,32,0,-2,0,32,-2,20,0,-2,0,20,-2,52,0,0
400,2,2,2,26,1,0,206,2,50,197,0,52,238,0,16,279,0,16,285,0,17,291,0
